единица,општина,место,регистрирани,гласале,валидни,ВМРО-ДПМНЕ и др.,СДСМ и др.,Алијанса за Албанците,БЕСА,ВМРО за Македонија,ДПА,ДУИ,КПП - Трет блок,ЛЕВИЦА,ЛП,ПДП
ИЕ 1,Аеродром,2673,808,631,612,216,357,0,0,4,2,0,13,16,4,
ИЕ 1,Аеродром,2674,966,779,751,307,376,0,0,19,0,1,22,23,3,
ИЕ 1,Аеродром,2675,749,574,550,210,287,0,0,6,1,0,13,24,9,
ИЕ 1,Аеродром,2676,661,519,499,173,274,0,0,19,0,1,7,16,9,
ИЕ 1,Аеродром,2677,674,504,483,171,262,1,0,15,1,0,17,10,6,
ИЕ 1,Аеродром,2678,808,605,586,180,351,0,0,13,1,0,11,24,6,
ИЕ 1,Аеродром,2679,474,361,349,145,182,0,0,5,0,0,7,10,0,
ИЕ 1,Аеродром,2679/1,562,422,402,162,202,0,1,12,1,1,8,13,2,
ИЕ 1,Аеродром,2680,565,462,447,185,214,0,0,22,1,0,8,15,2,
ИЕ 1,Аеродром,2680/1,480,385,376,168,168,0,0,17,0,0,10,11,2,
ИЕ 1,Аеродром,2681,1024,806,784,373,349,0,0,16,1,0,13,28,4,
ИЕ 1,Аеродром,2682,618,468,460,160,250,0,3,13,0,1,14,17,2,
ИЕ 1,Аеродром,2682/1,454,348,331,116,177,0,1,7,1,2,13,11,3,
ИЕ 1,Аеродром,2683,570,443,435,168,227,0,0,11,0,0,5,18,6,
ИЕ 1,Аеродром,2683/1,401,317,301,112,172,0,0,3,0,0,5,8,1,
ИЕ 1,Аеродром,2684,557,436,420,172,210,0,0,11,1,2,6,17,1,
ИЕ 1,Аеродром,2684/1,651,511,490,221,239,0,0,6,2,0,5,14,3,
ИЕ 1,Аеродром,2685,624,460,433,232,175,0,0,9,0,0,8,7,2,
ИЕ 1,Аеродром,2686,577,455,438,156,243,0,0,11,0,1,11,12,4,
ИЕ 1,Аеродром,2687,572,441,428,131,258,1,0,9,0,0,11,12,6,
ИЕ 1,Аеродром,2688,624,491,479,178,271,0,0,7,0,1,7,11,4,
ИЕ 1,Аеродром,2689,522,410,392,190,181,0,0,7,1,0,7,2,4,
ИЕ 1,Аеродром,2690,768,633,624,208,373,0,0,14,1,0,4,18,6,
ИЕ 1,Аеродром,2691,504,411,397,135,232,0,7,5,0,0,6,0,12,
ИЕ 1,Аеродром,2692,886,694,667,241,362,0,0,17,1,1,18,22,5,
ИЕ 1,Аеродром,2693,667,540,523,175,306,0,0,9,1,0,9,18,5,
ИЕ 1,Аеродром,2694,848,673,657,235,360,0,1,11,0,0,18,26,6,
ИЕ 1,Аеродром,2695,647,525,506,218,256,0,0,3,0,1,6,19,3,
ИЕ 1,Аеродром,2696,674,546,519,191,280,0,0,10,0,1,10,18,9,
ИЕ 1,Аеродром,2697,725,584,566,209,318,0,0,16,1,0,4,15,3,
ИЕ 1,Аеродром,2698,642,511,488,175,274,0,0,9,1,0,8,17,4,
ИЕ 1,Аеродром,2699,577,454,439,162,234,1,0,7,1,0,6,25,3,
ИЕ 1,Аеродром,2700,904,748,715,270,385,0,1,15,0,0,21,19,4,
ИЕ 1,Аеродром,2701,584,478,457,170,245,0,0,12,0,1,9,15,5,
ИЕ 1,Аеродром,2702,816,657,637,234,353,0,0,12,0,0,9,26,3,
ИЕ 1,Аеродром,2703,882,659,638,259,328,0,1,22,1,2,5,15,5,
ИЕ 1,Аеродром,2704,884,700,681,220,396,2,1,15,1,0,13,31,2,
ИЕ 1,Аеродром,2705,684,546,532,177,318,0,0,6,0,0,3,24,4,
ИЕ 1,Аеродром,2706,677,486,476,208,228,0,0,5,3,0,16,11,5,
ИЕ 1,Аеродром,2707,594,480,464,192,232,0,0,11,0,0,10,14,5,
ИЕ 1,Аеродром,2708,1647,1239,1207,503,587,0,0,30,1,0,21,54,11,
ИЕ 1,Аеродром,2709,785,574,550,193,298,1,1,17,0,0,9,28,3,
ИЕ 1,Аеродром,2710,918,734,713,278,360,0,1,16,0,0,20,34,4,
ИЕ 1,Аеродром,2711,665,529,513,267,217,0,1,5,0,0,8,11,4,
ИЕ 1,Аеродром,2712,875,671,638,256,343,0,0,17,1,0,10,9,2,
ИЕ 1,Аеродром,2713,689,583,557,208,305,0,0,12,0,0,7,20,5,
ИЕ 1,Аеродром,2714,717,585,570,237,294,3,0,7,0,1,13,12,3,
ИЕ 1,Аеродром,2714/1,942,731,704,288,369,0,0,17,0,0,11,16,3,
ИЕ 1,Аеродром,2715,523,457,447,192,218,0,0,14,0,1,11,10,1,
ИЕ 1,Аеродром,2715/1,562,478,466,211,216,1,0,8,0,0,12,14,4,
ИЕ 1,Аеродром,2716,466,402,388,158,177,0,1,23,0,0,13,12,4,
ИЕ 1,Аеродром,2716/1,463,398,373,169,165,0,0,15,0,0,6,16,2,
ИЕ 1,Аеродром,2717,512,387,369,180,164,0,0,6,1,0,6,8,4,
ИЕ 1,Аеродром,2717/1,535,432,425,185,207,0,0,12,0,0,5,12,4,
ИЕ 1,Аеродром,2718,865,700,684,243,371,0,0,18,0,0,12,30,10,
ИЕ 1,Аеродром,2719,834,636,611,255,318,0,0,8,0,0,7,18,5,
ИЕ 1,Аеродром,2719/1,860,660,646,276,321,0,0,12,0,0,14,20,3,
ИЕ 1,Аеродром,2720,561,429,422,162,230,1,0,7,0,1,7,12,2,
ИЕ 1,Аеродром,2720/1,530,393,380,153,199,0,0,9,1,0,5,11,2,
ИЕ 1,Аеродром,2721,521,428,410,212,176,1,0,5,0,0,5,9,2,
