authors,publisher,tags,title
"J. Allspaw & J. Robbins","O'Reilly","interview, web","Web Operations Keeping the Data On Time"
"Noah Iliinsky & Julie Steele","O'Reilly","visualization, statistics, data","Designing Data Visualizations"
"Peter Norvig & Toby Segaran","O'Reilly","interview, nlp, statistics, data, visualization","Beautiful Data"
"J. Chris Anderson","O'Reilly","couchdb, db, nosql","CouchDB: The Definitive Guide"
"S. Riggs & H. Krosing","Packt","admin, postgresql, db","Postgresql admin cookbook"
"Gregory Smith","Packt","admin, postgresql, db","Postgresql high performance"
"Diomidis Spinellis","O'Reilly","interview, architecture","Beautiful Architecture"
"Unknown","Stanford","statistics, data, machine-learning","Elements of Statistical Learning"
"Ian H. Witten & Elbe Frank & Mark A. Hall","Elseveir","data, machine-learning","Data Mining Practical Machine Learning"
"Christopher Manning & Prabhakar Raghavan & Hinrich Schuetze","Cambridge","nlp, data","Introduction to Information Retrieval"
"Marty Alchin","Apress","python","Pro Python"
"Toby Segaran","O'Reilly","python, nlp, data, machine-learning","Programming Collective Intelligence"
"Doug Hellmann","Sams","python","The Python Standard Library by Example"
"J. M. Hughes","O'Reilly","python, hardware","Real World Instrumentation with Python"
"Mark Summerfield","Prentice-Hall","python, qt, pyqt","Rapid GUI Programming with Python and Qt pyqt"
"Jacob Perkins","Packt","python, nlp, nltk","NLTK Cookbook"
"Steven Bird","O'Reilly","python, nlp, nltk","Natural Language Processing with Python and NLTK"
"Paul McGuire","O'Reilly","python, nlp","Pyparsing, Getting Started"
"Noah Gift","O'Reilly","python, linux","Python for Unix and Linux System Administration"
"Mark Hammond & Andy Robinson","O'Reilly","python, win","Python Programming on Win32"
"Rytis Sileika","Apress","python, linux","Pro Python System Administration"
"Sandro Tosi","Packt","python, visualization, sci, matplotlib","Matplotlib for Python Developers (2009)"
"Eugene Ciurana","Apress","python, web, gae","Developing Google App Engine"
"Dan Sanderson","O'Reilly","python, web, gae","Google App Engine 2 ed"
"Hans Petter Langtangen","Springer","python, numpy, sci, cs","Python Scripting for Computational Science 3 ed"
"Niall O’Higgins","O'Reilly","python, mongodb, nosql","MongoDB and Python"
"Shai Vaingast","Apress","python, visualization","Python visualization beginning"
"Justin Seitz","","python, c, hacking","Grayhat Python"
"David Arbuckle","Packt","python, testing","Python Testing"
"Abbas Ali","Packt","sphinx, search-engine, db","Sphinx Search"
"Eben Hewitt","O'Reilly","db, nosql, cassandra","Cassandra: The Definitive Guide"
"Stephane Faroult","O'Reilly","interview, db, architecture, sql","Refactoring SQL Applications"
"Steve Oualline","O'Reilly","c","C Practical (OReilly)"
"Kyle Loudon","O'Reilly","c, algorithms","Mastering Algorithms with C"
"Andrew Stellman & Jennifer Greene & Tim O'Reilly & Cory Doctorow & Alex Martelli","O'Reilly","interview, mgmt","Beautiful Teams"
"Unknown","O'Reilly","interview, architecture","97 Things Every programmer should know"
"Douglas Crockford & Peter Norvig & Guy Steele & Ken Thompson & Donald Knuth","Apress","interview","Coders at Work"
"Brian Kernighan & Guido van Rossum","O'Reilly","interview","Masterminds of Programming"
"Steven Levy","O'Reilly","interview, hacking","Hackers"
"David Smiley & Eric Pugh","Packt","lucene, solr, search-engine, db","Apache Solr 1.4 Enterprise Search Server"
"Yehuda Katz","Manning","jquery, javascript","JQuery in action"
"Unknown","O'Reilly","jquery, javascript","jQuery Cookbook"
"Jurafski","Stanford","nlp, data, machine-learning","Speech and Language Processing"
"Scott Berkun","O'Reilly","","The Myths of Innovation"
"Douglas Crockford & Brian Kernighan & Yukihiro Matz Matsumoto & Travis Oliphant","O'Reilly","interview, testing, algorithms, architecture","Beautiful Code"
"Philipp K. Janert","O'Reilly","nlp, data, machine-learning, visualization","Data Analysis with Open Source Tools"
"Pete Warden","O'Reilly","data","Data Source Handbook"
"John Goerzen & Brandon Rhodes","Apress","python, network","Foundations of Python Network Programming, Second Edition"
"Anand Rajaraman & Jeffrey D. Ullman","Stanford","data, algorithms, machine-learning","Mining of large datasets"
"Paul E. McKenney","IBM","parallel-programming, algorithms","Parallel Programming"
"Scott Chacon","Apress","admin, source-control, git","Pro Git"
"Jan Erik Solem","O'Reilly","python, cv","Programming Computer Vision with Python"
"Wes McKinney","O'Reilly","python, statistics, data, pandas","Python for Data Analysis in pandas"
"Bradley Holt","O'Reilly","couchdb, db, nosql","Scaling CouchDB"
"Mark Watson","Apress","nlp, semantic, machine-learning, data","scripting intelligence web 3 0 information gathering and processing"
"Bill Karwin","Raleigh","db, sql","SQL Antipatterns: Avoiding the Pitfalls of Database Programming"
"J. Eisenberg","O'Reilly","svg, web","SVG Essential"
